,0,1
10,Clubes de futbol famosos y sus estadios en Europa,"[['Real Madrid y el Estadio Santiago Bernabeu: El Real Madrid, uno de los clubes de futbol mas famosos y exitosos del mundo, juega sus partidos en el Estadio Santiago Bernabeu. Este estadio es una meca para los aficionados al futbol y ofrece tours que permiten a los visitantes explorar su rica historia.'
  '0.42433421239575275']
 [""Borussia Dortmund y el Signal Iduna Park: Borussia Dortmund es uno de los clubes de futbol mas populares y exitosos de Alemania. El equipo juega sus partidos en casa en el Signal Iduna Park, conocido por su increible atmosfera y el famoso 'Muro Amarillo', la tribuna sur que alberga a 25,000 aficionados apasionados.""
  '0.41695392396839676']
 ['Westfalenpark: Westfalenpark es uno de los parques urbanos mas grandes de Europa y un lugar destacado para los visitantes en Dortmund. El parque es famoso por su Rosarium, que alberga una de las colecciones mas extensas de rosas en el mundo, y la torre Florian, que ofrece vistas panoramicas de la ciudad.'
  '0.3768891807222045']]"
11,Transformacion urbana y regeneracion de espacios,"[['U-Tower - Centro de Arte y Creatividad: El U-Tower, una antigua cerveceria reconvertida, es ahora un centro dinamico de arte y creatividad. Alberga el Museo Ostwald, espacios de exposiciones y estudios de artistas, y es un simbolo de la transformacion cultural de Dortmund.'
  '0.5505977612893482']
 ['Mercado de Navidad de Dortmund: El Mercado de Navidad de Dortmund es uno de los mas grandes y mas visitados de Alemania. Con su gigantesco arbol de Navidad, posiblemente el mas alto de los mercados navidenos del pais, y mas de 300 puestos que venden artesanias, alimentos y bebidas tradicionales, es un evento imperdible durante la temporada festiva.'
  '0.42694084017889206']
 ['Zoologico de Dortmund: El Zoologico de Dortmund es un lugar excelente para familias y amantes de la naturaleza. Con mas de 1,500 animales y un enfoque especial en la conservacion de especies amenazadas, el zoologico proporciona una experiencia educativa y entretenida.'
  '0.4025236843413021']]"
12,Tradicion cervecera en ciudades europeas,"[['Historia de Dortmund: Dortmund, situada en la region del Ruhr en Alemania, tiene una historia que se remonta al ano 882. Originalmente una pequena villa, Dortmund crecio para convertirse en una importante ciudad industrial, especialmente conocida por su produccion de acero y cerveza.'
  '0.276172385369497']
 ['Museo del Futbol Aleman: Inaugurado en 2015, el Museo del Futbol Aleman ofrece una experiencia interactiva que celebra la rica historia del futbol aleman. Ubicado en Dortmund, el museo atrae a aficionados de todo el mundo y destaca por sus exposiciones que cuentan desde los primeros dias del deporte hasta los triunfos en Copas del Mundo.'
  '0.2080125735844609']
 ['Navidad en Madrid: Durante la temporada navidena, Madrid se transforma con mercados festivos, luces deslumbrantes y decoraciones. La Plaza Mayor se convierte en un enorme mercado de Navidad, donde se pueden encontrar todo tipo de regalos y delicias tradicionales.'
  '0.19425717247145283']]"
13,Mercados y comercio tradicional en Europa,"[['Navidad en Madrid: Durante la temporada navidena, Madrid se transforma con mercados festivos, luces deslumbrantes y decoraciones. La Plaza Mayor se convierte en un enorme mercado de Navidad, donde se pueden encontrar todo tipo de regalos y delicias tradicionales.'
  '0.3434014098717226']
 [""Borussia Dortmund y el Signal Iduna Park: Borussia Dortmund es uno de los clubes de futbol mas populares y exitosos de Alemania. El equipo juega sus partidos en casa en el Signal Iduna Park, conocido por su increible atmosfera y el famoso 'Muro Amarillo', la tribuna sur que alberga a 25,000 aficionados apasionados.""
  '0.26802813370944867']
 ['Westfalenpark: Westfalenpark es uno de los parques urbanos mas grandes de Europa y un lugar destacado para los visitantes en Dortmund. El parque es famoso por su Rosarium, que alberga una de las colecciones mas extensas de rosas en el mundo, y la torre Florian, que ofrece vistas panoramicas de la ciudad.'
  '0.266500895444513']]"
14,Centros de arte y creatividad en ciudades modernas,"[['U-Tower - Centro de Arte y Creatividad: El U-Tower, una antigua cerveceria reconvertida, es ahora un centro dinamico de arte y creatividad. Alberga el Museo Ostwald, espacios de exposiciones y estudios de artistas, y es un simbolo de la transformacion cultural de Dortmund.'
  '0.6155870112510925']
 ['Zoologico de Dortmund: El Zoologico de Dortmund es un lugar excelente para familias y amantes de la naturaleza. Con mas de 1,500 animales y un enfoque especial en la conservacion de especies amenazadas, el zoologico proporciona una experiencia educativa y entretenida.'
  '0.5062895554167108']
 ['Westfalenpark: Westfalenpark es uno de los parques urbanos mas grandes de Europa y un lugar destacado para los visitantes en Dortmund. El parque es famoso por su Rosarium, que alberga una de las colecciones mas extensas de rosas en el mundo, y la torre Florian, que ofrece vistas panoramicas de la ciudad.'
  '0.4797016118001235']]"
15,Actividades de ocio y entretenimiento en ciudades metropolitanas,"[['U-Tower - Centro de Arte y Creatividad: El U-Tower, una antigua cerveceria reconvertida, es ahora un centro dinamico de arte y creatividad. Alberga el Museo Ostwald, espacios de exposiciones y estudios de artistas, y es un simbolo de la transformacion cultural de Dortmund.'
  '0.5129891760425771']
 ['Zoologico de Dortmund: El Zoologico de Dortmund es un lugar excelente para familias y amantes de la naturaleza. Con mas de 1,500 animales y un enfoque especial en la conservacion de especies amenazadas, el zoologico proporciona una experiencia educativa y entretenida.'
  '0.5062895554167108']
 ['Westfalenpark: Westfalenpark es uno de los parques urbanos mas grandes de Europa y un lugar destacado para los visitantes en Dortmund. El parque es famoso por su Rosarium, que alberga una de las colecciones mas extensas de rosas en el mundo, y la torre Florian, que ofrece vistas panoramicas de la ciudad.'
  '0.4797016118001235']]"
16,Conservacion de la naturaleza y la vida silvestre en zonas urbanas,"[['Zoologico de Dortmund: El Zoologico de Dortmund es un lugar excelente para familias y amantes de la naturaleza. Con mas de 1,500 animales y un enfoque especial en la conservacion de especies amenazadas, el zoologico proporciona una experiencia educativa y entretenida.'
  '0.5250410204321445']
 ['La Reinoldikirche: La iglesia de San Reinold es el edificio mas antiguo de Dortmund, datando del siglo XIII. Es un punto de referencia historico importante y ofrece a los visitantes una mirada al pasado medieval de la ciudad.'
  '0.4814569204856493']
 ['Dortmund durante la Segunda Guerra Mundial: Dortmund fue un objetivo significativo durante los bombardeos de la Segunda Guerra Mundial debido a su industria pesada. Hoy en dia, varios monumentos y museos ofrecen reflexiones sobre este periodo y sus efectos en la ciudad.'
  '0.47336463120312866']]"
17,Planificacion de eventos culturales y festivales en ciudades,"[['U-Tower - Centro de Arte y Creatividad: El U-Tower, una antigua cerveceria reconvertida, es ahora un centro dinamico de arte y creatividad. Alberga el Museo Ostwald, espacios de exposiciones y estudios de artistas, y es un simbolo de la transformacion cultural de Dortmund.'
  '0.5923488777590925']
 ['Zoologico de Dortmund: El Zoologico de Dortmund es un lugar excelente para familias y amantes de la naturaleza. Con mas de 1,500 animales y un enfoque especial en la conservacion de especies amenazadas, el zoologico proporciona una experiencia educativa y entretenida.'
  '0.584612822215468']
 ['Westfalenpark: Westfalenpark es uno de los parques urbanos mas grandes de Europa y un lugar destacado para los visitantes en Dortmund. El parque es famoso por su Rosarium, que alberga una de las colecciones mas extensas de rosas en el mundo, y la torre Florian, que ofrece vistas panoramicas de la ciudad.'
  '0.5539117094069973']]"
18,Desarrollo del transporte y la infraestructura urbana,"[['Nochevieja en Puerta del Sol: La Puerta del Sol es el corazon de Madrid y el lugar donde miles se reunen cada Nochevieja para dar la bienvenida al ano nuevo. Comer las doce uvas de la suerte al son de las campanadas del reloj es una tradicion que todos deberian experimentar.'
  '0.38888888888888884']
 ['Parque del Retiro: El Parque del Retiro es el pulmon verde de Madrid. Antiguamente perteneciente a la monarquia espanola, este parque de 118 hectareas ofrece un respiro de la vida urbana con sus estanques, jardines y el Palacio de Cristal.'
  '0.36380343755449945']
 ['Museo del Prado: El Museo del Prado es uno de los museos mas famosos del mundo y un destino imprescindible para los amantes del arte que visitan Madrid. Alberga una impresionante coleccion de obras de Velazquez, Goya, El Greco y otros maestros europeos.'
  '0.3611575592573076']]"
19,Impacto de la tecnolog´ıa en la vida urbana,"[['La Reinoldikirche: La iglesia de San Reinold es el edificio mas antiguo de Dortmund, datando del siglo XIII. Es un punto de referencia historico importante y ofrece a los visitantes una mirada al pasado medieval de la ciudad.'
  '0.46423834544262954']
 ['Parque del Retiro: El Parque del Retiro es el pulmon verde de Madrid. Antiguamente perteneciente a la monarquia espanola, este parque de 118 hectareas ofrece un respiro de la vida urbana con sus estanques, jardines y el Palacio de Cristal.'
  '0.42874646285627205']
 ['Westfalenpark: Westfalenpark es uno de los parques urbanos mas grandes de Europa y un lugar destacado para los visitantes en Dortmund. El parque es famoso por su Rosarium, que alberga una de las colecciones mas extensas de rosas en el mundo, y la torre Florian, que ofrece vistas panoramicas de la ciudad.'
  '0.414578098794425']]"
